author|flightDate|flightFromCity|flightToCity|flightType|flightClass|mark|title|text
gugvat|febbraio 2020|Roma|Melbourne|Internazionali|Economy|4.0|Molto bene|Aerei nuovi , molto puliti e molto silenziosi . Puntuaità , cortesia equpaggio , cibi di buona qualità ed ampio intrattenimento .
patty602014|febbraio 2020|Milano|Abu Dhabi|Internazionali|Economy|4.0|viaggio di gruppo Crociera Costa negli Emirati Arabi Uniti|Ho viaggiato in gruppo da Milano ad Abu Dhabi, il volo faceva parte del pacchetto Costa Crociere. I posti sono comodi, l'imbarco viene fatto a zone, i posti migliori sono quelli della zona 5 che sale sull'aereo per ultima. Gli spazi tra i sedili sono più larghi e comodi.
Ornella63|febbraio 2020|Roma|Abu Dhabi|Internazionali|Economy|5.0|Un' economy di lusso|Tutto perfetto. Anche in economy si sta comodi. Personale cortese. Pasti buoni.Tanti film anche prime visioni ma pochi in italiano. Tanti giochi.
Genny C|febbraio 2020|Roma|Bangkok|Internazionali|Economy|4.0|Puntualità e cortesia, buon cibo|Aerei confortevoli. Soprattutto il volo che da Roma ad Abu Dabi, ha un’aletta laterale poggia testa che ti permette di dormire comodamente anche in assenza di cuscino gonfiabile, fondamentale per poter affrontare così tante ore di volo. Intrattenimento vario con molte scelte (moltissime solo in inglese o arabo). Cibo buono, devo dire che ho trovato più qualità rispetto ad altre compagnie.
Rosa G|NULL|Roma|Malé|Internazionali|Economy|5.0|Prima volta con etihad|Prima volta con ethiad ottima compagnia dal comfort al personale al cibo Buon intrattenimento belle poltrone nonostante economy addirittura le hostess portaronouna culletta per far addormentare un neonato la consiglio totalmente
Beltramo Giovenale|gennaio 2020|Milano|Phuket|Internazionali|Economy|4.0|tra le migliori compagnie di volo...|avevo già volato in passato con questa compagnia e questa volta che vi era opportunità e un buon prezzo .....ne ho riaprofittato....buon volo
Alessandro E|gennaio 2020|Roma|Abu Dhabi|Internazionali|Economy|4.0|Viaggio perfetto|Qualità cortesia rispetto degli orari Veramente impeccabili Posto molto confortevoli ottima qualità di cibo e bevande
miami96Keywest|marzo 2020|Milano|Abu Dhabi|Internazionali|Economy|4.0|Gran bel volo|Partenza per Abu Dhabi io e mia moglie per proseguire poi in crociera. Tratta già effettuata qualche anno fa con Emirates, questa volta invece con Etihad. Imbarco puntuale, scelta del posto assegnata online qualche giorno prima a mia scelta senza supplemento. Aeromobile di ultima generazione Boeing 787 Dreamliner. Tutti posti occupati. Decollo in orario perfetto. Cinque ore e 20 senza problemi con servizio di pranzo di qualità con specialità emiratine. Intrattenimento di livello con diversa scelta di film, giochi, documentari e volo in diretta con varie prospettive. Wi-Fi a bordo peccato che sia a pagamento (unica pecca), perché su Emirates non si paga. Pilota italiano a completare l’ottimo volo con hostess gentilissime e mai scocciate. Lode a Etihad
593patrizia|dicembre 2019|Roma|Abu Dhabi|Internazionali|Economy|2.0|viaggio di andata e ritorno ABU DHABI|il volo che abbiamo effettuato era per imbarcarsi su costa crociere per emirati quindi scali nei vari porti DUBAI ABU DHABI MUSCAT E DOHA all'andata viaggio nella media il ritorno essendo un volo notturno era abbastanza pieno quindi non c'erano tanti spazi per distendersi ma la cosa veramente indecente e' stata l'altissima aria condizionata quindi un gran freddo ho invitato le hostess ad abbassare la temperatura che era polare sono andata nella loro cabina a sollecitarle ma niente da fare mi hanno risposyo che il volo era notturno quindi non ho capito cosa voleva dire purtroppo al mio rientro a casa sono dovuta ricorrere al medico che mi ha prescritto antibiotici avevo una bronchite credo che non volero ' piu' con detta compagnia
charlie|gennaio 2020|Shanghai|Roma|Internazionali|Economy|4.0|In linea con le aspettative e con il costo|Sedili con distanze nella media , abbastanza comodi, hanno fornito come su tutti i voli transcontinentali cuscini e coperte pulite. Ho scelto posti di corridoio per me e per il coniuge. Film a bordo: sempre pochi in lingua italiana. Pasti a bordo : nella media, personale di bordo cortese. Tempi di imbarco puntuali. Hanno servito costantemente bicchieri di acqua data la durata del volo (e ciò non viene fatto da tutte le compagnie). Si può ritenere una buona scelta almeno per me.
